frame,classe
123,truck
123,car
124,bus
124,car
124,car
124,car
124,car
124,car
124,person
124,car
124,car
124,car
124,person
124,truck
124,car
124,car
124,car
124,bus
124,truck
125,bus
125,car
125,car
125,car
125,car
125,car
125,person
125,truck
125,car
125,car
125,car
125,car
125,car
126,bus
126,car
126,car
126,car
126,car
126,car
126,car
126,person
126,car
126,car
126,car
126,car
126,car
126,car
127,bus
127,car
127,car
127,car
127,car
127,car
127,person
127,car
127,car
127,car
127,car
127,car
127,bus
127,car
127,car
128,bus
128,car
128,car
128,car
128,car
128,car
128,car
128,car
128,car
128,person
128,car
128,car
128,car
128,person
128,car
128,car
129,bus
129,car
129,car
129,car
129,car
129,car
129,car
129,car
129,car
129,car
129,person
129,car
129,truck
129,person
129,car
129,car
129,person
130,bus
130,bus
130,car
130,car
130,car
130,car
130,car
130,car
130,car
130,car
130,car
130,person
130,car
130,car
130,person
130,person
130,car
131,bus
131,bus
131,car
131,car
131,car
131,car
131,car
131,car
131,car
131,car
131,car
131,person
131,car
131,car
131,person
131,car
131,person
132,bus
132,bus
132,car
132,car
132,car
132,car
132,car
132,car
132,car
132,car
132,person
132,car
132,car
132,person
132,person
132,car
132,person
132,car
133,bus
133,bus
133,car
133,car
133,car
133,car
133,car
133,car
133,car
133,car
133,car
133,bus
133,car
133,car
133,person
134,bus
134,bus
134,car
134,car
134,car
134,car
134,car
134,car
134,car
134,truck
134,car
134,car
134,car
134,car
134,car
135,bus
135,car
135,bus
135,car
135,car
135,car
135,car
135,car
135,car
135,car
135,car
135,car
135,bus
135,car
135,car
135,car
135,person
135,person
136,bus
136,bus
136,car
136,car
136,car
136,car
136,car
136,bus
136,car
136,car
136,car
136,car
136,car
136,car
136,car
137,bus
137,bus
137,car
137,bus
137,car
137,car
137,car
137,car
137,car
137,car
137,car
137,car
137,car
137,car
137,car
137,motorcycle
137,car
137,car
137,car
138,bus
138,bus
138,bus
138,car
138,car
138,car
138,car
138,car
138,car
138,car
138,car
138,car
138,car
138,car
138,car
138,car
138,car
138,car
139,bus
139,bus
139,car
139,bus
139,car
139,car
139,car
139,car
139,car
139,car
139,car
139,car
139,car
139,car
139,car
139,car
139,car
140,bus
140,bus
140,car
140,bus
140,car
140,car
140,car
140,car
140,car
140,car
140,car
140,car
140,car
140,car
140,car
140,car
140,car
140,car
140,car
140,person
141,bus
141,bus
141,bus
141,car
141,car
141,car
141,car
141,car
141,car
141,car
141,car
141,car
141,car
141,car
141,car
141,car
141,car
142,bus
142,bus
142,bus
142,car
142,car
142,car
142,car
142,car
142,car
142,car
142,car
142,car
142,car
142,car
142,car
142,car
142,car
143,bus
143,bus
143,bus
143,car
143,car
143,car
143,car
143,car
143,car
143,car
143,car
143,car
143,car
143,car
143,car
143,car
143,car
143,car
143,car
144,bus
144,bus
144,car
144,truck
144,car
144,car
144,car
144,car
144,car
144,car
144,car
144,car
144,car
144,car
144,car
144,bus
144,car
144,car
145,bus
145,bus
145,car
145,car
145,car
145,car
145,car
145,car
145,car
145,car
145,car
145,car
145,car
145,car
145,car
145,car
146,bus
146,bus
146,car
146,car
146,car
146,car
146,car
146,car
146,car
146,car
146,car
146,car
146,car
146,car
146,car
146,truck
146,car
146,car
147,bus
147,bus
147,car
147,car
147,car
147,car
147,car
147,car
147,car
147,car
147,car
147,truck
147,car
147,person
147,bus
148,bus
148,bus
148,car
148,car
148,car
148,car
148,car
148,car
148,car
148,car
148,car
148,car
148,car
149,bus
149,bus
149,car
149,car
149,car
149,car
149,car
149,car
149,car
149,car
149,car
149,car
149,car
149,car
149,car
149,car
150,bus
150,car
150,car
150,bus
150,car
150,car
150,car
150,car
150,car
150,car
150,car
150,car
150,car
150,truck
150,car
150,car
150,person
150,car
150,person
151,bus
151,bus
151,car
151,car
151,car
151,car
151,car
151,car
151,car
151,car
151,car
151,car
151,car
151,car
151,person
151,truck
152,bus
152,bus
152,car
152,car
152,car
152,car
152,car
152,car
152,car
152,car
152,car
152,car
152,car
152,person
152,person
152,car
152,car
153,bus
153,car
153,car
153,car
153,car
153,car
153,car
153,bus
153,car
153,car
